"Front","Back"
"(molto tempo fa) noi ADDORMENTARSI","(noi) ci addormentammo"
"(domani) voi ADDORMENTARSI","(voi) vi addormenterete"
"(perfetto) lei ADDORMENTARSI","(lei) si è addormentata"
"(perchè ieri) lei ADDORMENTARSI","(lei) si era addormentata"
"che io ADDORMENTARSI","(che io) mi addormenti"
"che lei ADDORMENTARSI","(che lei) si addormenti"
"(perfetto) che io ADDORMENTARSI","(che io) mi sia addormentato"
"(perfetto) che loro ADDORMENTARSI","(che loro) si siano addormentate"
"se (presente) io ADDORMENTARSI","se (io) mi addormenterei"
"se (presente) lui ADDORMENTARSI","se (lui) si addormenterebbe"
"se (passato) noi ADDORMENTARSI","se (noi) ci saremmo addormentati"
"(...ndo) ...  ADDORMENTARSI","(... ) addormentandosi"
"(passato ...ndo) ADDORMENTARSI","(essendosi) addormentato"
"(aggetivo) ...  ADDORMENTARSI","(... ) addormentantesi"
"(per favore) ...  ADDORMENTARSI","(... ) addormentati"
"(adesso) io AIUTARE","(io) aiuto"
"(adesso) tu AIUTARE","(tu) aiuti"
"(adesso) lui AIUTARE","(lui) aiuta"
"(adesso) noi AIUTARE","(noi) aiutiamo"
"(adesso) voi AIUTARE","(voi) aiutate"
"(adesso) loro AIUTARE","(loro) aiutano"
"(ieri) tu AIUTARE","(tu) aiutavi"
"(molto tempo fa) io AIUTARE","(io) aiutai"
"(molto tempo fa) voi AIUTARE","(voi) aiutaste"
"(domani) noi AIUTARE","(noi) aiuteremo"
"(perfetto) loro AIUTARE","(loro) hanno aiutato"
"(perchè ieri) noi AIUTARE","(noi) avevamo aiutato"
"che io AIUTARE","(che io) aiuti"
"che lei AIUTARE","(che lei) aiuti"
"(perfetto) che io AIUTARE","(che io) abbia aiutato"
"(perfetto) che loro AIUTARE","(che loro) abbiano aiutato"
"se (presente) io AIUTARE","se (io) aiuterei"
"se (presente) voi AIUTARE","se (voi) aiutereste"
"se (passato) voi AIUTARE","se (voi) avreste aiutato"
"(...ndo) ...  AIUTARE","(... ) aiutando"
"(passato ...ndo) AIUTARE","(avendo) aiutato"
"(aggetivo) ...  AIUTARE","(... ) aiutante"
"(per favore) ...  AIUTARE","(... ) aiuta"
"(adesso) io ALZARSI","(io) mi alzo"
"(adesso) tu ALZARSI","(tu) ti alzi"
"(adesso) lei ALZARSI","(lei) si alza"
"(adesso) noi ALZARSI","(noi) ci alziamo"
"(adesso) voi ALZARSI","(voi) vi alzate"
"(adesso) loro ALZARSI","(loro) si alzano"
"(ieri) lui ALZARSI","(lui) si alzava"
"(molto tempo fa) io ALZARSI","(io) mi alzai"
"(molto tempo fa) loro ALZARSI","(loro) si alzarono"
"(domani) noi ALZARSI","(noi) ci alzeremo"
"(perfetto) voi ALZARSI","(voi) vi siete alzati"
"(perchè ieri) lui ALZARSI","(lui) si era alzato"
"che io ALZARSI","(che io) mi alzi"
"che lei ALZARSI","(che lei) si alzi"
"(perfetto) che io ALZARSI","(che io) mi sia alzato"
"(perfetto) che lui ALZARSI","(che lui) si sia alzato"
"se (presente) io ALZARSI","se (io) mi alzerei"
"se (presente) loro ALZARSI","se (loro) si alzerebbero"
"se (passato) noi ALZARSI","se (noi) ci saremmo alzati"
"(...ndo) ...  ALZARSI","(... ) alzandosi"
"(passato ...ndo) ALZARSI","(essendosi) alzato"
"(aggetivo) ...  ALZARSI","(... ) alzantesi"
"(per favore) ...  ALZARSI","(... ) alzati"
"(adesso) io AMARE","(io) amo"
"(adesso) tu AMARE","(tu) ami"
"(adesso) lei AMARE","(lei) ama"
"(adesso) noi AMARE","(noi) amiamo"
"(adesso) voi AMARE","(voi) amate"
"(adesso) loro AMARE","(loro) amano"
"(ieri) voi AMARE","(voi) amavate"
"(molto tempo fa) io AMARE","(io) amai"
"(molto tempo fa) tu AMARE","(tu) amasti"
"(domani) lui AMARE","(lui) amerà"
"(perfetto) noi AMARE","(noi) abbiamo amato"
"(perchè ieri) io AMARE","(io) avevo amato"
"che io AMARE","(che io) ami"
"che tu AMARE","(che tu) ami"
"(perfetto) che io AMARE","(che io) abbia amato"
"(perfetto) che tu AMARE","(che tu) abbia amato"
"se (presente) io AMARE","se (io) amerei"
"se (presente) lei AMARE","se (lei) amerebbe"
"se (passato) tu AMARE","se (tu) avresti amato"
"(...ndo) ...  AMARE","(... ) amando"
"(passato ...ndo) AMARE","(avendo) amato"
"(aggetivo) ...  AMARE","(... ) amante"
"(per favore) ...  AMARE","(... ) ama"
"(adesso) io ANDARE","(io) vado"
"(adesso) tu ANDARE","(tu) vai"
"(adesso) lei ANDARE","(lei) va"
"(adesso) noi ANDARE","(noi) andiamo"
"(adesso) voi ANDARE","(voi) andate"
"(adesso) loro ANDARE","(loro) vanno"
"(ieri) lui ANDARE","(lui) andava"
"(molto tempo fa) io ANDARE","(io) andai"
"(molto tempo fa) tu ANDARE","(tu) andasti"
"(domani) loro ANDARE","(loro) andranno"
"(perfetto) lui ANDARE","(lui) è andato"
"(perchè ieri) loro ANDARE","(loro) erano andate"
"che io ANDARE","(che io) vada"
"che loro ANDARE","(che loro) vadano"
"(perfetto) che io ANDARE","(che io) sia andato"
"(perfetto) che noi ANDARE","(che noi) siamo andati"
"se (presente) io ANDARE","se (io) andrei"
"se (presente) voi ANDARE","se (voi) andreste"
"se (passato) lei ANDARE","se (lei) sarebbe andata"
"(...ndo) ...  ANDARE","(... ) andando"
"(passato ...ndo) ANDARE","(essendo) andato"
"(aggetivo) ...  ANDARE","(... ) andante"
"(per favore) ...  ANDARE","(... ) va'/vai"
"(adesso) io ANNOIARSI","(io) mi annoio"
"(adesso) tu ANNOIARSI","(tu) ti annoi"
"(adesso) lei ANNOIARSI","(lei) si annoia"
"(adesso) noi ANNOIARSI","(noi) ci annoiamo"
"(adesso) voi ANNOIARSI","(voi) vi annoiate"
"(adesso) loro ANNOIARSI","(loro) si annoiano"
"(ieri) loro ANNOIARSI","(loro) si annoiavano"
"(molto tempo fa) io ANNOIARSI","(io) mi annoiai"
"(molto tempo fa) lui ANNOIARSI","(lui) si annoiò"
"(domani) loro ANNOIARSI","(loro) si annoieranno"
"(perfetto) loro ANNOIARSI","(loro) si sono annoiate"
"(perchè ieri) lui ANNOIARSI","(lui) si era annoiato"
"che io ANNOIARSI","(che io) mi annoi"
"che loro ANNOIARSI","(che loro) si annoino"
"(perfetto) che io ANNOIARSI","(che io) mi sia annoiato"
"(perfetto) che loro ANNOIARSI","(che loro) si siano annoiate"
"se (presente) io ANNOIARSI","se (io) mi annoierei"
"se (presente) voi ANNOIARSI","se (voi) vi annoiereste"
"se (passato) loro ANNOIARSI","se (loro) si sarebbero annoiati"
"(...ndo) ...  ANNOIARSI","(... ) annoiandosi"
"(passato ...ndo) ANNOIARSI","(essendosi) annoiato"
"(aggetivo) ...  ANNOIARSI","(... ) annoiantesi"
"(per favore) ...  ANNOIARSI","(... ) annoiati"
"(adesso) io APPARIRE","(io) appaio"
"(adesso) tu APPARIRE","(tu) appari"
"(adesso) lei APPARIRE","(lei) appare"
"(adesso) noi APPARIRE","(noi) appariamo"
"(adesso) voi APPARIRE","(voi) apparite"
"(adesso) loro APPARIRE","(loro) appaiono"
"(ieri) lei APPARIRE","(lei) appariva"
"(molto tempo fa) io APPARIRE","(io) apparvi/rii"
"(molto tempo fa) tu APPARIRE","(tu) apparisti"
"(domani) lei APPARIRE","(lei) apparirà"
"(perfetto) loro APPARIRE","(loro) sono apparsi"
"(perchè ieri) tu APPARIRE","(tu) eri apparso"
"che io APPARIRE","(che io) appaia"
"che tu APPARIRE","(che tu) appaia"
"(perfetto) che io APPARIRE","(che io) sia apparso"
"(perfetto) che lei APPARIRE","(che lei) sia apparsa"
"se (presente) io APPARIRE","se (io) apparirei"
"se (presente) tu APPARIRE","se (tu) appariresti"
"se (passato) loro APPARIRE","se (loro) sarebbero apparsi"
"(...ndo) ...  APPARIRE","(... ) apparendo"
"(passato ...ndo) APPARIRE","(essendo) apparsa"
"(aggetivo) ...  APPARIRE","(... ) apparente"
"(per favore) ...  APPARIRE","(... ) appari"
"(adesso) io APRIRE","(io) apro"
"(adesso) tu APRIRE","(tu) apri"
"(adesso) lei APRIRE","(lei) apre"
"(adesso) noi APRIRE","(noi) apriamo"
"(adesso) voi APRIRE","(voi) aprite"
"(adesso) loro APRIRE","(loro) aprono"
"(ieri) noi APRIRE","(noi) aprivamo"
"(molto tempo fa) io APRIRE","(io) aprii/ersi"
"(molto tempo fa) lui APRIRE","(lui) aprì/erse"
"(domani) voi APRIRE","(voi) aprirete"
"(perfetto) noi APRIRE","(noi) abbiamo aperto"
"(perchè ieri) loro APRIRE","(loro) avevano aperto"
"che io APRIRE","(che io) apra"
"che tu APRIRE","(che tu) apra"
"(perfetto) che io APRIRE","(che io) abbia aperto"
"(perfetto) che noi APRIRE","(che noi) abbiamo aperto"
"se (presente) io APRIRE","se (io) aprirei"
"se (presente) loro APRIRE","se (loro) aprirebbero"
"se (passato) loro APRIRE","se (loro) avrebbero aperto"
"(...ndo) ...  APRIRE","(... ) aprendo"
"(passato ...ndo) APRIRE","(avendo) aperto"
"(aggetivo) ...  APRIRE","(... ) aprente"
"(per favore) ...  APRIRE","(... ) apri"
"(adesso) io ARRABBIARSI","(io) mi arrabbio"
"(adesso) tu ARRABBIARSI","(tu) ti arrabbi"
"(adesso) lei ARRABBIARSI","(lei) si arrabbia"
"(adesso) noi ARRABBIARSI","(noi) ci arrabbiamo"
"(adesso) voi ARRABBIARSI","(voi) vi arrabbiate"
"(adesso) loro ARRABBIARSI","(loro) si arrabbiano"
"(ieri) loro ARRABBIARSI","(loro) si arrabbiavano"
"(molto tempo fa) io ARRABBIARSI","(io) mi arrabbiai"
"(molto tempo fa) tu ARRABBIARSI","(tu) ti arrabbiasti"
"(domani) lui ARRABBIARSI","(lui) si arrabbierà"
"(perfetto) noi ARRABBIARSI","(noi) ci siamo arrabbiati"
"(perchè ieri) loro ARRABBIARSI","(loro) si erano arrabbiate"
"che io ARRABBIARSI","(che io) mi arrabbi"
"che loro ARRABBIARSI","(che loro) si arrabbino"
"(perfetto) che io ARRABBIARSI","(che io) mi sia arrabbiato"
"(perfetto) che voi ARRABBIARSI","(che voi) vi siate arrabbiati"
"se (presente) io ARRABBIARSI","se (io) mi arrabbierei"
"se (presente) voi ARRABBIARSI","se (voi) vi arrabbiereste"
"se (passato) loro ARRABBIARSI","se (loro) si sarebbero arrabbiati"
"(...ndo) ...  ARRABBIARSI","(... ) arrabbiandosi"
"(passato ...ndo) ARRABBIARSI","(essendosi) arrabbiato"
"(aggetivo) ...  ARRABBIARSI","(... ) arrabbiantesi"
"(per favore) ...  ARRABBIARSI","(... ) arrabbiati"
"(adesso) io ARRIVARE","(io) arrivo"
"(adesso) tu ARRIVARE","(tu) arrivi"
"(adesso) lei ARRIVARE","(lei) arriva"
"(adesso) noi ARRIVARE","(noi) arriviamo"
"(adesso) voi ARRIVARE","(voi) arrivate"
"(adesso) loro ARRIVARE","(loro) arrivano"
"(ieri) voi ARRIVARE","(voi) arrivavate"
"(molto tempo fa) io ARRIVARE","(io) arrivai"
"(molto tempo fa) loro ARRIVARE","(loro) arrivarono"
"(domani) loro ARRIVARE","(loro) arriveranno"
"(perfetto) loro ARRIVARE","(loro) sono arrivati"
"(perchè ieri) lei ARRIVARE","(lei) era arrivata"
"che io ARRIVARE","(che io) arrivi"
"che noi ARRIVARE","(che noi) arriviamo"
"(perfetto) che io ARRIVARE","(che io) sia arrivato"
"(perfetto) che loro ARRIVARE","(che loro) siano arrivate"
"se (presente) io ARRIVARE","se (io) arriverei"
"se (presente) voi ARRIVARE","se (voi) arrivereste"
"se (passato) loro ARRIVARE","se (loro) sarebbero arrivati"
"(...ndo) ...  ARRIVARE","(... ) arrivando"
"(passato ...ndo) ARRIVARE","(essendo) arrivate"
"(aggetivo) ...  ARRIVARE","(... ) arrivante"
"(per favore) ...  ARRIVARE","(... ) arriva"
"(adesso) io ASCOLTARE","(io) ascolto"
"(adesso) tu ASCOLTARE","(tu) ascolti"
"(adesso) lei ASCOLTARE","(lei) ascolta"
"(adesso) noi ASCOLTARE","(noi) ascoltiamo"
"(adesso) voi ASCOLTARE","(voi) ascoltate"
"(adesso) loro ASCOLTARE","(loro) ascoltano"
"(ieri) voi ASCOLTARE","(voi) ascoltavate"
"(molto tempo fa) io ASCOLTARE","(io) ascoltai"
"(molto tempo fa) voi ASCOLTARE","(voi) ascoltaste"
"(domani) tu ASCOLTARE","(tu) ascolterai"
"(perfetto) loro ASCOLTARE","(loro) hanno ascoltato"
"(perchè ieri) loro ASCOLTARE","(loro) avevano ascoltato"
"che io ASCOLTARE","(che io) ascolti"
"lui ASCOLTARE","(lui) ascolti"
"(perfetto) che io ASCOLTARE","(che io) abbia ascoltato"
"(perfetto) che noi ASCOLTARE","(che noi) abbiamo ascoltato"
"se (presente) io ASCOLTARE","se (io) ascolterei"
"se (presente) loro ASCOLTARE","se (loro) ascolterebbero"
"se (passato) tu ASCOLTARE","se (tu) avresti ascoltato"
"(...ndo) ...  ASCOLTARE","(... ) ascoltando"
"(passato ...ndo) ASCOLTARE","(avendo) ascoltato"
"(aggetivo) ...  ASCOLTARE","(... ) ascoltante"
"(per favore) ...  ASCOLTARE","(... ) ascolta"
"(adesso) io ASPETTARE","(io) aspetto"
"(adesso) tu ASPETTARE","(tu) aspetti"
"(adesso) lei ASPETTARE","(lei) aspetta"
"(adesso) noi ASPETTARE","(noi) aspettiamo"
"(adesso) voi ASPETTARE","(voi) aspettate"
"(adesso) loro ASPETTARE","(loro) aspettano"
"(ieri) voi ASPETTARE","(voi) aspettavate"
"(molto tempo fa) io ASPETTARE","(io) aspettai"
"(molto tempo fa) loro ASPETTARE","(loro) aspettarono"
"(domani) tu ASPETTARE","(tu) aspetterai"
"(perfetto) tu ASPETTARE","(tu) hai aspettato"
"(perchè ieri) io ASPETTARE","(io) avevo aspettato"
"che io ASPETTARE","(che io) aspetti"
"che noi ASPETTARE","(che noi) aspettiamo"
"(perfetto) che io ASPETTARE","(che io) abbia aspettato"
"(perfetto) che loro ASPETTARE","(che loro) abbiano aspettato"
"se (presente) io ASPETTARE","se (io) aspetterei"
"se (presente) lei ASPETTARE","se (lei) aspetterebbe"
"se (passato) tu ASPETTARE","se (tu) avresti aspettato"
"(...ndo) ...  ASPETTARE","(... ) aspettando"
"(passato ...ndo) ASPETTARE","(avendo) aspettato"
"(aggetivo) ...  ASPETTARE","(... ) aspettante"
"(per favore) ...  ASPETTARE","(... ) aspetta"
"(adesso) io AVERE","(io) ho"
"(adesso) tu AVERE","(tu) hai"
"(adesso) lui AVERE","(lui) ha"
"(adesso) noi AVERE","(noi) abbiamo"
"(adesso) voi AVERE","(voi) avete"
"(adesso) loro AVERE","(loro) hanno"
"(ieri) lui AVERE","(lui) aveva"
"(molto tempo fa) io AVERE","(io) ebbi"
"(molto tempo fa) noi AVERE","(noi) avemmo"
"(domani) io AVERE","(io) avrò"
"(perfetto) lui AVERE","(lui) ha avuto"
"(perchè ieri) loro AVERE","(loro) avevano avuto"
"che io AVERE","(che io) abbia"
"che lei AVERE","(che lei) abbia"
"(perfetto) che io AVERE","(che io) abbia avuto"
"(perfetto) che tu AVERE","(che tu) abbia avuto"
"se (presente) io AVERE","se (io) avrei"
"se (presente) noi AVERE","se (noi) avremmo"
"se (passato) noi AVERE","se (noi) avremmo avuto"
"(...ndo) ...  AVERE","(... ) avendo"
"(passato ...ndo) AVERE","(avendo) avuto"
"(aggetivo) ...  AVERE","(... ) avente"
"(per favore) ...  AVERE","(... ) abbi"
"(adesso) io BERE","(io) bevo"
"(adesso) tu BERE","(tu) bevi"
"(adesso) lui BERE","(lui) beve"
"(adesso) noi BERE","(noi) beviamo"
"(adesso) voi BERE","(voi) bevete"
"(adesso) loro BERE","(loro) bevono"
"(ieri) tu BERE","(tu) bevevi"
"(molto tempo fa) io BERE","(io) bevvi/vetti"
"(molto tempo fa) noi BERE","(noi) bevemmo"
"(domani) tu BERE","(tu) berrai"
"(perfetto) lui BERE","(lui) ha bevuto"
"(perchè ieri) io BERE","(io) avevo bevuto"
"che io BERE","(che io) beva"
"lui BERE","(lui) beva"
"(perfetto) che io BERE","(che io) abbia bevuto"
"(perfetto) che loro BERE","(che loro) abbiano bevuto"
"se (presente) io BERE","se (io) berrei"
"se (presente) noi BERE","se (noi) berremmo"
"se (passato) tu BERE","se (tu) avresti bevuto"
"(...ndo) ...  BERE","(... ) bevendo"
"(passato ...ndo) BERE","(avendo) bevuto"
"(aggetivo) ...  BERE","(... ) bevente"
"(per favore) ...  BERE","(... ) bevi"
"(adesso) io CADERE","(io) cado"
"(adesso) tu CADERE","(tu) cadi"
"(adesso) lui CADERE","(lui) cade"
"(adesso) noi CADERE","(noi) cadiamo"
"(adesso) voi CADERE","(voi) cadete"
"(adesso) loro CADERE","(loro) cadono"
"(ieri) lei CADERE","(lei) cadeva"
"(molto tempo fa) io CADERE","(io) caddi"
"(molto tempo fa) voi CADERE","(voi) cadeste"
"(domani) noi CADERE","(noi) cadremo"
"(perfetto) io CADERE","(io) sono caduto"
"(perchè ieri) loro CADERE","(loro) erano cadute"
"che io CADERE","(che io) cada"
"che voi CADERE","(che voi) cadiate"
"(perfetto) che io CADERE","(che io) sia caduto"
"(perfetto) che lui CADERE","(che lui) sia caduto"
"se (presente) io CADERE","se (io) cadrei"
"se (presente) tu CADERE","se (tu) cadresti"
"se (passato) lui CADERE","se (lui) sarebbe caduto"
"(...ndo) ...  CADERE","(... ) cadendo"
"(passato ...ndo) CADERE","(essendo) caduta"
"(aggetivo) ...  CADERE","(... ) cadente"
"(per favore) ...  CADERE","(... ) cadi"
"(adesso) io CAMBIARE","(io) cambio"
"(adesso) tu CAMBIARE","(tu) cambi"
"(adesso) lui CAMBIARE","(lui) cambia"
"(adesso) noi CAMBIARE","(noi) cambiamo"
"(adesso) voi CAMBIARE","(voi) cambiate"
"(adesso) loro CAMBIARE","(loro) cambiano"
"(ieri) lei CAMBIARE","(lei) cambiava"
"(molto tempo fa) io CAMBIARE","(io) cambiai"
"(molto tempo fa) loro CAMBIARE","(loro) cambiarono"
"(domani) loro CAMBIARE","(loro) cambieranno"
"(perfetto) lui CAMBIARE","(lui) ha cambiato"
"(perchè ieri) io CAMBIARE","(io) avevo cambiato"
"che io CAMBIARE","(che io) cambi"
"lui CAMBIARE","(lui) cambi"
"(perfetto) che io CAMBIARE","(che io) abbia cambiato"
"(perfetto) che tu CAMBIARE","(che tu) abbia cambiato"
"se (presente) io CAMBIARE","se (io) cambierei"
"se (presente) lei CAMBIARE","se (lei) cambierebbe"
"se (passato) io CAMBIARE","se (io) sarei cambiato"
"(...ndo) ...  CAMBIARE","(... ) cambiando"
"(passato ...ndo) CAMBIARE","(essendo) cambiate"
"(aggetivo) ...  CAMBIARE","(... ) cambiante"
"(per favore) ...  CAMBIARE","(... ) cambia"
"(adesso) io CANTARE","(io) canto"
"(adesso) tu CANTARE","(tu) canti"
"(adesso) lui CANTARE","(lui) canta"
"(adesso) noi CANTARE","(noi) cantiamo"
"(adesso) voi CANTARE","(voi) cantate"
"(adesso) loro CANTARE","(loro) cantano"
"(ieri) voi CANTARE","(voi) cantavate"
"(molto tempo fa) io CANTARE","(io) cantai"
"(molto tempo fa) noi CANTARE","(noi) cantammo"
"(domani) lei CANTARE","(lei) canterà"
"(perfetto) lei CANTARE","(lei) ha cantato"
"(perchè ieri) tu CANTARE","(tu) avevi cantato"
"che io CANTARE","(che io) canti"
"che voi CANTARE","(che voi) cantiate"
"(perfetto) che io CANTARE","(che io) abbia cantato"
"(perfetto) che tu CANTARE","(che tu) abbia cantato"
"se (presente) io CANTARE","se (io) canterei"
"se (presente) tu CANTARE","se (tu) canteresti"
"se (passato) loro CANTARE","se (loro) avrebbero cantato"
"(...ndo) ...  CANTARE","(... ) cantando"
"(passato ...ndo) CANTARE","(avendo) cantato"
"(aggetivo) ...  CANTARE","(... ) cantante"
"(per favore) ...  CANTARE","(... ) canta"
"(adesso) io CAPIRE","(io) capisco"
"(adesso) tu CAPIRE","(tu) capisci"
"(adesso) lei CAPIRE","(lei) capisce"
"(adesso) noi CAPIRE","(noi) capiamo"
"(adesso) voi CAPIRE","(voi) capite"
"(adesso) loro CAPIRE","(loro) capiscono"
"(ieri) noi CAPIRE","(noi) capivamo"
"(molto tempo fa) io CAPIRE","(io) capii"
"(molto tempo fa) loro CAPIRE","(loro) capirono"
"(domani) io CAPIRE","(io) capirò"
"(perfetto) lui CAPIRE","(lui) ha capito"
"(perchè ieri) io CAPIRE","(io) avevo capito"
"che io CAPIRE","(che io) capisca"
"che tu CAPIRE","(che tu) capisca"
"(perfetto) che io CAPIRE","(che io) abbia capito"
"(perfetto) che tu CAPIRE","(che tu) abbia capito"
"se (presente) io CAPIRE","se (io) capirei"
"se (presente) lui CAPIRE","se (lui) capirebbe"
"se (passato) lei CAPIRE","se (lei) avrebbe capito"
"(...ndo) ...  CAPIRE","(... ) capendo"
"(passato ...ndo) CAPIRE","(avendo) capito"
"(aggetivo) ...  CAPIRE","(... ) capente"
"(per favore) ...  CAPIRE","(... ) capisci"
"(adesso) io CERCARE","(io) cerco"
"(adesso) tu CERCARE","(tu) cerchi"
"(adesso) lui CERCARE","(lui) cerca"
"(adesso) noi CERCARE","(noi) cerchiamo"
"(adesso) voi CERCARE","(voi) cercate"
"(adesso) loro CERCARE","(loro) cercano"
"(ieri) voi CERCARE","(voi) cercavate"
"(molto tempo fa) io CERCARE","(io) cercai"
"(molto tempo fa) lui CERCARE","(lui) cercò"
"(domani) tu CERCARE","(tu) cercherai"
"(perfetto) tu CERCARE","(tu) hai cercato"
"(perchè ieri) lui CERCARE","(lui) aveva cercato"
"che io CERCARE","(che io) cerchi"
"che noi CERCARE","(che noi) cerchiamo"
"(perfetto) che io CERCARE","(che io) abbia cercato"
"(perfetto) che tu CERCARE","(che tu) abbia cercato"
"se (presente) io CERCARE","se (io) cercherei"
"se (presente) tu CERCARE","se (tu) cercheresti"
"se (passato) noi CERCARE","se (noi) avremmo cercato"
"(...ndo) ...  CERCARE","(... ) cercando"
"(passato ...ndo) CERCARE","(avendo) cercato"
"(aggetivo) ...  CERCARE","(... ) cercante"
"(per favore) ...  CERCARE","(... ) cerca"
"(adesso) io CHIAMARSI","(io) mi chiamo"
"(adesso) tu CHIAMARSI","(tu) ti chiami"
"(adesso) lui CHIAMARSI","(lui) si chiama"
"(adesso) noi CHIAMARSI","(noi) ci chiamiamo"
"(adesso) voi CHIAMARSI","(voi) vi chiamate"
"(adesso) loro CHIAMARSI","(loro) si chiamano"
"(ieri) loro CHIAMARSI","(loro) si chiamavano"
"(molto tempo fa) io CHIAMARSI","(io) mi chiamai"
"(molto tempo fa) tu CHIAMARSI","(tu) ti chiamasti"
"(domani) voi CHIAMARSI","(voi) vi chiamerete"
"(perfetto) loro CHIAMARSI","(loro) si sono chiamate"
"(perchè ieri) loro CHIAMARSI","(loro) si erano chiamati"
"che io CHIAMARSI","(che io) mi chiami"
"che tu CHIAMARSI","(che tu) ti chiami"
"(perfetto) che io CHIAMARSI","(che io) mi sia chiamato"
"(perfetto) che loro CHIAMARSI","(che loro) si siano chiamati"
"se (presente) io CHIAMARSI","se (io) mi chiamerei"
"se (presente) noi CHIAMARSI","se (noi) ci chiameremmo"
"se (passato) noi CHIAMARSI","se (noi) ci saremmo chiamati"
"(...ndo) ...  CHIAMARSI","(... ) chiamandosi"
"(passato ...ndo) CHIAMARSI","(essendosi) chiamato"
"(aggetivo) ...  CHIAMARSI","(... ) chiamantesi"
"(per favore) ...  CHIAMARSI","(... ) chiamati"
"(adesso) io CHIEDERE","(io) chiedo"
"(adesso) tu CHIEDERE","(tu) chiedi"
"(adesso) lei CHIEDERE","(lei) chiede"
"(adesso) noi CHIEDERE","(noi) chiediamo"
"(adesso) voi CHIEDERE","(voi) chiedete"
"(adesso) loro CHIEDERE","(loro) chiedono"
"(ieri) lei CHIEDERE","(lei) chiedeva"
"(molto tempo fa) io CHIEDERE","(io) chiesi"
"(molto tempo fa) lui CHIEDERE","(lui) chiese"
"(domani) lui CHIEDERE","(lui) chiederà"
"(perfetto) noi CHIEDERE","(noi) abbiamo chiesto"
"(perchè ieri) tu CHIEDERE","(tu) avevi chiesto"
"che io CHIEDERE","(che io) chieda"
"lui CHIEDERE","(lui) chieda"
"(perfetto) che io CHIEDERE","(che io) abbia chiesto"
"(perfetto) che tu CHIEDERE","(che tu) abbia chiesto"
"se (presente) io CHIEDERE","se (io) chiederei"
"se (presente) loro CHIEDERE","se (loro) chiederebbero"
"se (passato) loro CHIEDERE","se (loro) avrebbero chiesto"
"(...ndo) ...  CHIEDERE","(... ) chiedendo"
