"lei aggiunge --> Perfetto","lei ha aggiunto"
"loro(f) cucinano --> Perfetto","loro(f) hanno cucinato"
"loro(m) giocano --> Perfetto","loro(m) hanno giocato"
"lui si sbriga --> Perfetto","lui si è sbrigato"
"noi ci addormentiamo --> Perfetto","noi ci siamo addormentati"
"noi comprendiamo --> Perfetto","noi abbiamo compreso"
"lei mangia --> Perfetto","lei ha mangiato"
"tu effettui --> Perfetto","tu hai effettuato"
"noi ci mettiamo --> Perfetto","noi ci siamo messi"
"tu credi --> Perfetto","tu hai creduto"
"io appaio --> Perfetto","io sono apparso"
"tu abiti --> Perfetto","tu hai abitato"
"lui esce --> Perfetto","lui è uscito"
"noi arriviamo --> Perfetto","noi siamo arrivati"
"io sembro --> Perfetto","io sono sembrato"
"io spiego --> Perfetto","io ho spiegato"
"noi offriamo --> Perfetto","noi abbiamo offerto"
"io fermo --> Perfetto","io ho fermato"
"io vado --> Perfetto","io sono andato"
"loro(m) confermano --> Perfetto","loro(m) hanno confermato"
"io metto --> Perfetto","io ho messo"
"loro(m) partono --> Perfetto","loro sono partiti"
"loro(f) attuano --> Perfetto","loro(f) hanno attuato"
"loro(f) parlano --> Perfetto","loro(f) hanno parlato"
"loro(m) perdono --> Perfetto","loro(m) hanno perso"
"tu apri --> Perfetto","tu hai aperto"
"lei recupera --> Perfetto","lei ha recuperato"
"loro(f) notano --> Perfetto","loro(f) hanno notato"
"loro(f) sentono --> Perfetto","loro(f) hanno sentito"
"io rendo --> Perfetto","io ho reso"
"voi vincete --> Perfetto","voi avete vinto"
"loro(m) salvano --> Perfetto","loro(m) hanno salvato"
"loro(f) decidono --> Perfetto","loro(f) hanno deciso"
"tu ti spogli --> Perfetto","tu ti sei spogliato"
"tu dormi --> Perfetto","tu hai dormito"
"voi scoprite --> Perfetto","voi avete scoperto"
"lui agisce --> Perfetto","lui ha agito"
"lui corre --> Perfetto","lui ha corso / lei/lui è corsa"
"tu avvii --> Perfetto","tu hai avviato"
"voi fornite --> Perfetto","voi avete fornito"
"loro(f) si sentono --> Perfetto","loro si sono sentite"
"lui smette --> Perfetto","lui ha smesso"
"lui balla --> Perfetto","lui ha ballato"
"noi discutiamo --> Perfetto","noi abbiamo discusso"
"io faccio --> Perfetto","io ho fatto"
"tu promuovi --> Perfetto","tu hai promosso"
"loro(m) visitano --> Perfetto","loro(m) hanno visitato"
"tu paghi --> Perfetto","tu hai pagato"
"tu proteggi --> Perfetto","tu hai protetto"
"loro(m) sostengono --> Perfetto","loro(m) hanno sostenuto"
"loro(m) adottano --> Perfetto","loro(m) hanno adottato"
"lui include --> Perfetto","lui ha incluso"
"tu ti vesti --> Perfetto","tu ti sei vestito"
"tu selezioni --> Perfetto","tu hai selezionato"
"io scarico --> Perfetto","io ho scaricato"
"io cresco --> Perfetto","io ho cresciuto / io sono cresciuto"
"loro(m) puliscono --> Perfetto","loro(m) hanno pulito"
"loro(m) consentono --> Perfetto","loro(m) hanno consentito"
"voi volete --> Perfetto","voi avete voluto"
"loro(f) servono --> Perfetto","loro(f) hanno servito"
"loro(f) muoiono --> Perfetto","loro sono morte"
"lei prende --> Perfetto","lei ha preso"
"loro(f) immaginano --> Perfetto","loro(f) hanno immaginato"
"lui gode --> Perfetto","lui ha goduto"
"lui teme --> Perfetto","lui ha temuto"
"lui entra --> Perfetto","lui è entrato"
"noi sopravviviamo --> Perfetto","noi siamo sopravvissuti"
"voi organizzate --> Perfetto","voi avete organizzato"
"loro(f) sviluppano --> Perfetto","loro(f) hanno sviluppato"
"voi vi annoiate --> Perfetto","voi vi siete annoiati"
"loro(f) piacciono --> Perfetto","loro sono piaciute"
"lui spara --> Perfetto","lui ha sparato"
"tu riesci --> Perfetto","tu sei riuscito"
"loro(f) riconoscono --> Perfetto","loro(f) hanno riconosciuto"
"loro(m) richiedono --> Perfetto","loro(m) hanno richiesto"
"noi spegniamo --> Perfetto","noi abbiamo spento"
"lui limita --> Perfetto","lui ha limitato"
"loro(f) nascono --> Perfetto","loro sono nate"
"noi studiamo --> Perfetto","noi abbiamo studiato"
"loro(f) modificano --> Perfetto","loro(f) hanno modificato"
"lei incoraggia --> Perfetto","lei ha incoraggiato"
"io mi fermo --> Perfetto","io mi sono fermato"
"loro(m) stanno --> Perfetto","loro sono stati"
"loro(m) comprano --> Perfetto","loro(m) hanno comprato"
"loro(f) distruggono --> Perfetto","loro(f) hanno distrutto"
"noi esprimiamo --> Perfetto","noi abbiamo espresso"
"lei viene --> Perfetto","lei è venuta"
"noi ci accomodiamo --> Perfetto","noi ci siamo accomodati"
"lui si fa --> Perfetto","lui si è fatto"
"voi condividete --> Perfetto","voi avete condiviso"
"loro(m) rafforzano --> Perfetto","loro(m) hanno rafforzato"
"voi ridete --> Perfetto","voi avete riso"
"voi combattete --> Perfetto","voi avete combattuto"
"loro(f) individuano --> Perfetto","loro(f) hanno individuato"
"io finanzio --> Perfetto","io ho finanziato"
"io scendo --> Perfetto","io ho sceso / io sono sceso"
"io riduco --> Perfetto","io ho ridotto"
"noi completiamo --> Perfetto","noi abbiamo completato"
"io identifico --> Perfetto","io ho identificato"
"tu causi --> Perfetto","tu hai causato"
"lei ama --> Perfetto","lei ha amato"
"lei aumenta --> Perfetto","lei ha aumentato"
"loro(m) aspettano --> Perfetto","loro(m) hanno aspettato"
"voi controllate --> Perfetto","voi avete controllato"
"lei accede --> Perfetto","lei ha acceduto"
"io mi chiamo --> Perfetto","io mi sono chiamato"
"loro(m) cominciano --> Perfetto","loro(m) hanno cominciato"
"loro(f) preparano --> Perfetto","loro(f) hanno preparato"
"io sostituisco --> Perfetto","io ho sostituito"
"tu affronti --> Perfetto","tu hai affrontato"
"loro(m) cercano --> Perfetto","loro(m) hanno cercato"
"io esamino --> Perfetto","io ho esaminato"
"lui porta --> Perfetto","lui ha portato"
"loro(f) guidano --> Perfetto","loro(f) hanno guidato"
"tu applichi --> Perfetto","tu hai applicato"
"lei segue --> Perfetto","lei ha seguito / lei/lui è seguita"
"voi eseguite --> Perfetto","voi avete eseguito"
"voi diventate --> Perfetto","voi siete diventati"
"lui copre --> Perfetto","lui ha coperto"
"lui spedisce --> Perfetto","lui ha spedito"
"lei capisce --> Perfetto","lei ha capito"
"lei dà --> Perfetto","lei ha dato"
"noi creiamo --> Perfetto","noi abbiamo creato"
"lei accetta --> Perfetto","lei ha accettato"
"lei tiene --> Perfetto","lei ha tenuto"
"lei incontra --> Perfetto","lei ha incontrato"
"lui mostra --> Perfetto","lui ha mostrato"
"io ascolto --> Perfetto","io ho ascoltato"
"lei si perde --> Perfetto","lei si è persa"
"loro(m) ottengono --> Perfetto","loro(m) hanno ottenuto"
"loro(f) lavorano --> Perfetto","loro(f) hanno lavorato"
"tu raccogli --> Perfetto","tu hai raccolto"
"lei si diverte --> Perfetto","lei si è divertita"
"lei soddisfa --> Perfetto","lei ha soddisfatto"
"lei svolge --> Perfetto","lei ha svolto"
"tu ti svegli --> Perfetto","tu ti sei svegliato"
"loro(m) si arrabbiano --> Perfetto","loro si sono arrabbiati"
"loro(f) aiutano --> Perfetto","loro(f) hanno aiutato"
"lui definisce --> Perfetto","lui ha definito"
"loro(f) restano --> Perfetto","loro sono restate"
"io mi chiedo --> Perfetto","io mi sono chiesto"
"loro(m) stabiliscono --> Perfetto","loro(m) hanno stabilito"
"noi torniamo --> Perfetto","noi siamo tornati"
"voi vi ricordate --> Perfetto","voi vi siete ricordati"
"loro(m) producono --> Perfetto","loro(m) hanno prodotto"
"lui finisce --> Perfetto","lui ha finito / lei/lui è finita"
"io viaggio --> Perfetto","io ho viaggiato"
"voi difendete --> Perfetto","voi avete difeso"
"loro(f) si preoccupano --> Perfetto","loro si sono preoccupate"
"voi valutate --> Perfetto","voi avete valutato"
"lui ricorda --> Perfetto","lui ha ricordato"
"tu presenti --> Perfetto","tu hai presentato"
"loro(m) contribuiscono --> Perfetto","loro(m) hanno contribuito"
"noi introduciamo --> Perfetto","noi abbiamo introdotto"
"lei canta --> Perfetto","lei ha cantato"
"lei tace --> Perfetto","lei ha taciuto"
"voi determinate --> Perfetto","voi avete determinato"
"voi funzionate --> Perfetto","voi avete funzionato"
"voi impedite --> Perfetto","voi avete impedito"
