"Position","Verb","Form","Front","Back"
"0","amare","Congiuntivo Imperfetto","tu ami -> (che) Imperfetto","che tu amassi"
"0","amare","Congiuntivo Imperfetto","lui ama -> (che) Imperfetto","che lui amasse"
"0","amare","Congiuntivo Imperfetto","lei ama -> (che) Imperfetto","che lei amasse"
"0","amare","Congiuntivo Imperfetto","noi amiamo -> (che) Imperfetto","che noi amassimo"
"0","amare","Congiuntivo Imperfetto","voi amate -> (che) Imperfetto","che voi amaste"
"0","amare","Congiuntivo Imperfetto","loro(m) amano -> (che) Imperfetto","che loro(m) amassero"
"0","amare","Congiuntivo Imperfetto","loro(f) amano -> (che) Imperfetto","che loro(f) amassero"
"0","amare","Condizionale Presente","io amo -> (se) Presente","io amerei"
"0","amare","Condizionale Presente","tu ami -> (se) Presente","tu ameresti"
"0","amare","Condizionale Presente","lui ama -> (se) Presente","lui amerebbe"
"0","amare","Condizionale Presente","lei ama -> (se) Presente","lei amerebbe"
"0","amare","Condizionale Presente","noi amiamo -> (se) Presente","noi ameremmo"
"0","amare","Condizionale Presente","voi amate -> (se) Presente","voi amereste"
"0","amare","Condizionale Presente","loro(m) amano -> (se) Presente","loro(m) amerebbero"
"0","amare","Condizionale Presente","loro(f) amano -> (se) Presente","loro(f) amerebbero"
"0","amare","Condizionale Passato","io amo -> (se) Passato","io avrei amato"
"0","amare","Condizionale Passato","tu ami -> (se) Passato","tu avresti amato"
"0","amare","Condizionale Passato","lui ama -> (se) Passato","lui avrebbe amato"
"0","amare","Condizionale Passato","lei ama -> (se) Passato","lei avrebbe amato"
"0","amare","Condizionale Passato","noi amiamo -> (se) Passato","noi avremmo amato"
"0","amare","Condizionale Passato","voi amate -> (se) Passato","voi avreste amato"
"0","amare","Condizionale Passato","loro(m) amano -> (se) Passato","loro(m) avrebbero amato"
"0","amare","Condizionale Passato","loro(f) amano -> (se) Passato","loro(f) avrebbero amato"
"1","andare","Imperfetto","io vado -> Imperfetto","io andavo"
"1","andare","Imperfetto","tu vai -> Imperfetto","tu andavi"
"1","andare","Imperfetto","lui va -> Imperfetto","lui andava"
"1","andare","Imperfetto","lei va -> Imperfetto","lei andava"
"1","andare","Imperfetto","noi andiamo -> Imperfetto","noi andavamo"
"1","andare","Imperfetto","voi andate -> Imperfetto","voi andavate"
"1","andare","Imperfetto","loro(m) vanno -> Imperfetto","loro(m) andavano"
"1","andare","Imperfetto","loro(f) vanno -> Imperfetto","loro(f) andavano"
"1","andare","Passato remoto","io vado -> Passato Remoto","io andai"
"1","andare","Passato remoto","tu vai -> Passato Remoto","tu andasti"
"1","andare","Passato remoto","lui va -> Passato Remoto","lui andò"
"1","andare","Passato remoto","lei va -> Passato Remoto","lei andò"
"1","andare","Passato remoto","noi andiamo -> Passato Remoto","noi andammo"
"1","andare","Passato remoto","voi andate -> Passato Remoto","voi andaste"
"1","andare","Passato remoto","loro(m) vanno -> Passato Remoto","loro(m) andarono"
"1","andare","Passato remoto","loro(f) vanno -> Passato Remoto","loro(f) andarono"
"1","andare","Futuro semplice","io vado -> Futuro","io andrò"
"1","andare","Futuro semplice","tu vai -> Futuro","tu andrai"
"1","andare","Futuro semplice","lui va -> Futuro","lui andrà"
"1","andare","Futuro semplice","lei va -> Futuro","lei andrà"
"1","andare","Futuro semplice","noi andiamo -> Futuro","noi andremo"
"1","andare","Futuro semplice","voi andate -> Futuro","voi andrete"
"1","andare","Futuro semplice","loro(m) vanno -> Futuro","loro(m) andranno"
"1","andare","Futuro semplice","loro(f) vanno -> Futuro","loro(f) andranno"
"1","andare","Passato prossimo","io vado -> Perfetto","io sono andato"
"1","andare","Passato prossimo","tu vai -> Perfetto","tu sei andato"
"1","andare","Passato prossimo","lui va -> Perfetto","lui è andato"
"1","andare","Passato prossimo","lei va -> Perfetto","lei è andata"
"1","andare","Passato prossimo","noi andiamo -> Perfetto","noi siamo andati"
"1","andare","Passato prossimo","voi andate -> Perfetto","voi siete andati"
"1","andare","Passato prossimo","loro(m) vanno -> Perfetto","loro sono andati"
"1","andare","Passato prossimo","loro(f) vanno -> Perfetto","loro sono andate"
"1","andare","Trapassato prossimo","io vado -> Trapassato Prossimo","io ero andato"
"1","andare","Trapassato prossimo","tu vai -> Trapassato Prossimo","tu eri andato"
"1","andare","Trapassato prossimo","lui va -> Trapassato Prossimo","lui era andato"
"1","andare","Trapassato prossimo","lei va -> Trapassato Prossimo","lei era andata"
"1","andare","Trapassato prossimo","noi andiamo -> Trapassato Prossimo","noi eravamo andati"
"1","andare","Trapassato prossimo","voi andate -> Trapassato Prossimo","voi eravate andati"
"1","andare","Trapassato prossimo","loro(m) vanno -> Trapassato Prossimo","loro erano andati"
"1","andare","Trapassato prossimo","loro(f) vanno -> Trapassato Prossimo","loro erano andate"
"1","andare","Futuro anteriore","io vado -> Futuro Anteriore","io sarò andato"
"1","andare","Futuro anteriore","tu vai -> Futuro Anteriore","tu sarai andato"
"1","andare","Futuro anteriore","lui va -> Futuro Anteriore","lui sarà andato"
"1","andare","Futuro anteriore","lei va -> Futuro Anteriore","lei sarà andata"
"1","andare","Futuro anteriore","noi andiamo -> Futuro Anteriore","noi saremo andati"
"1","andare","Futuro anteriore","voi andate -> Futuro Anteriore","voi sarete andati"
"1","andare","Futuro anteriore","loro(m) vanno -> Futuro Anteriore","loro saranno andati"
"1","andare","Futuro anteriore","loro(f) vanno -> Futuro Anteriore","loro saranno andate"
"1","andare","Congiuntivo Presente","io vado -> (che) Presente","che io vada"
"1","andare","Congiuntivo Presente","tu vai -> (che) Presente","che tu vada"
"1","andare","Congiuntivo Presente","lui va -> (che) Presente","che lui vada"
"1","andare","Congiuntivo Presente","lei va -> (che) Presente","che lei vada"
"1","andare","Congiuntivo Presente","noi andiamo -> (che) Presente","che noi andiamo"
"1","andare","Congiuntivo Presente","voi andate -> (che) Presente","che voi andiate"
"1","andare","Congiuntivo Presente","loro(m) vanno -> (che) Presente","che loro(m) vadano"
"1","andare","Congiuntivo Presente","loro(f) vanno -> (che) Presente","che loro(f) vadano"
"1","andare","Congiuntivo Passato","io vado -> (che) Perfettoal","che io sia andato"
"1","andare","Congiuntivo Passato","tu vai -> (che) Perfettoal","che tu sia andato"
"1","andare","Congiuntivo Passato","lui va -> (che) Perfettoal","che lui sia andato"
"1","andare","Congiuntivo Passato","lei va -> (che) Perfettoal","che lei sia andata"
"1","andare","Congiuntivo Passato","noi andiamo -> (che) Perfettoal","che noi siamo andati"
"1","andare","Congiuntivo Passato","voi andate -> (che) Perfettoal","che voi siate andati"
"1","andare","Congiuntivo Passato","loro(m) vanno -> (che) Perfettoal","che loro siano andati"
"1","andare","Congiuntivo Passato","loro(f) vanno -> (che) Perfettoal","che loro siano andate"
"1","andare","Congiuntivo Trapassato","io vado -> (che) Trapassato","che io fossi andato"
"1","andare","Congiuntivo Trapassato","tu vai -> (che) Trapassato","che tu fossi andato"
"1","andare","Congiuntivo Trapassato","lui va -> (che) Trapassato","che lui fosse andato"
"1","andare","Congiuntivo Trapassato","lei va -> (che) Trapassato","che lei fosse andata"
"1","andare","Congiuntivo Trapassato","noi andiamo -> (che) Trapassato","che noi fossimo andati"
"1","andare","Congiuntivo Trapassato","voi andate -> (che) Trapassato","che voi foste andati"
"1","andare","Congiuntivo Trapassato","loro(m) vanno -> (che) Trapassato","che loro fossero andati"
"1","andare","Congiuntivo Trapassato","loro(f) vanno -> (che) Trapassato","che loro fossero andate"
"1","andare","Congiuntivo Imperfetto","io vado -> (che) Imperfetto","che io andassi"
"1","andare","Congiuntivo Imperfetto","tu vai -> (che) Imperfetto","che tu andassi"
"1","andare","Congiuntivo Imperfetto","lui va -> (che) Imperfetto","che lui andasse"
"1","andare","Congiuntivo Imperfetto","lei va -> (che) Imperfetto","che lei andasse"
"1","andare","Congiuntivo Imperfetto","noi andiamo -> (che) Imperfetto","che noi andassimo"
"1","andare","Congiuntivo Imperfetto","voi andate -> (che) Imperfetto","che voi andaste"
"1","andare","Congiuntivo Imperfetto","loro(m) vanno -> (che) Imperfetto","che loro(m) andassero"
"1","andare","Congiuntivo Imperfetto","loro(f) vanno -> (che) Imperfetto","che loro(f) andassero"
"1","andare","Condizionale Presente","io vado -> (se) Presente","io andrei"
"1","andare","Condizionale Presente","tu vai -> (se) Presente","tu andresti"
"1","andare","Condizionale Presente","lui va -> (se) Presente","lui andrebbe"
"1","andare","Condizionale Presente","lei va -> (se) Presente","lei andrebbe"
"1","andare","Condizionale Presente","noi andiamo -> (se) Presente","noi andremmo"
"1","andare","Condizionale Presente","voi andate -> (se) Presente","voi andreste"
"1","andare","Condizionale Presente","loro(m) vanno -> (se) Presente","loro(m) andrebbero"
"1","andare","Condizionale Presente","loro(f) vanno -> (se) Presente","loro(f) andrebbero"
"1","andare","Condizionale Passato","io vado -> (se) Passato","io sarei andato"
"1","andare","Condizionale Passato","tu vai -> (se) Passato","tu saresti andato"
"1","andare","Condizionale Passato","lui va -> (se) Passato","lui sarebbe andato"
"1","andare","Condizionale Passato","lei va -> (se) Passato","lei sarebbe andata"
"1","andare","Condizionale Passato","noi andiamo -> (se) Passato","noi saremmo andati"
"1","andare","Condizionale Passato","voi andate -> (se) Passato","voi sareste andati"
"1","andare","Condizionale Passato","loro(m) vanno -> (se) Passato","loro sarebbero andati"
"1","andare","Condizionale Passato","loro(f) vanno -> (se) Passato","loro sarebbero andate"
"2","aprire","Imperfetto","io apro -> Imperfetto","io aprivo"
"2","aprire","Imperfetto","tu apri -> Imperfetto","tu aprivi"
"2","aprire","Imperfetto","lui apre -> Imperfetto","lui apriva"
"2","aprire","Imperfetto","lei apre -> Imperfetto","lei apriva"
"2","aprire","Imperfetto","noi apriamo -> Imperfetto","noi aprivamo"
"2","aprire","Imperfetto","voi aprite -> Imperfetto","voi aprivate"
"2","aprire","Imperfetto","loro(m) aprono -> Imperfetto","loro(m) aprivano"
"2","aprire","Imperfetto","loro(f) aprono -> Imperfetto","loro(f) aprivano"
"2","aprire","Passato remoto","io apro -> Passato Remoto","io aprii/ersi"
"2","aprire","Passato remoto","tu apri -> Passato Remoto","tu apristi"
"2","aprire","Passato remoto","lui apre -> Passato Remoto","lui aprì/erse"
"2","aprire","Passato remoto","lei apre -> Passato Remoto","lei aprì/erse"
"2","aprire","Passato remoto","noi apriamo -> Passato Remoto","noi aprimmo"
"2","aprire","Passato remoto","voi aprite -> Passato Remoto","voi apriste"
"2","aprire","Passato remoto","loro(m) aprono -> Passato Remoto","loro(m) aprirono/ersero"
"2","aprire","Passato remoto","loro(f) aprono -> Passato Remoto","loro(f) aprirono/ersero"
"2","aprire","Futuro semplice","io apro -> Futuro","io aprirò"
"2","aprire","Futuro semplice","tu apri -> Futuro","tu aprirai"
"2","aprire","Futuro semplice","lui apre -> Futuro","lui aprirà"
"2","aprire","Futuro semplice","lei apre -> Futuro","lei aprirà"
"2","aprire","Futuro semplice","noi apriamo -> Futuro","noi apriremo"
"2","aprire","Futuro semplice","voi aprite -> Futuro","voi aprirete"
"2","aprire","Futuro semplice","loro(m) aprono -> Futuro","loro(m) apriranno"
"2","aprire","Futuro semplice","loro(f) aprono -> Futuro","loro(f) apriranno"
"2","aprire","Passato prossimo","io apro -> Perfetto","io ho aperto"
"2","aprire","Passato prossimo","tu apri -> Perfetto","tu hai aperto"
"2","aprire","Passato prossimo","lui apre -> Perfetto","lui ha aperto"
"2","aprire","Passato prossimo","lei apre -> Perfetto","lei ha aperto"
"2","aprire","Passato prossimo","noi apriamo -> Perfetto","noi abbiamo aperto"
"2","aprire","Passato prossimo","voi aprite -> Perfetto","voi avete aperto"
"2","aprire","Passato prossimo","loro(m) aprono -> Perfetto","loro(m) hanno aperto"
"2","aprire","Passato prossimo","loro(f) aprono -> Perfetto","loro(f) hanno aperto"
"2","aprire","Trapassato prossimo","io apro -> Trapassato Prossimo","io avevo aperto"
"2","aprire","Trapassato prossimo","tu apri -> Trapassato Prossimo","tu avevi aperto"
"2","aprire","Trapassato prossimo","lui apre -> Trapassato Prossimo","lui aveva aperto"
"2","aprire","Trapassato prossimo","lei apre -> Trapassato Prossimo","lei aveva aperto"
"2","aprire","Trapassato prossimo","noi apriamo -> Trapassato Prossimo","noi avevamo aperto"
"2","aprire","Trapassato prossimo","voi aprite -> Trapassato Prossimo","voi avevate aperto"
"2","aprire","Trapassato prossimo","loro(m) aprono -> Trapassato Prossimo","loro(m) avevano aperto"
"2","aprire","Trapassato prossimo","loro(f) aprono -> Trapassato Prossimo","loro(f) avevano aperto"
"2","aprire","Futuro anteriore","io apro -> Futuro Anteriore","io avrò aperto"
"2","aprire","Futuro anteriore","tu apri -> Futuro Anteriore","tu avrai aperto"
"2","aprire","Futuro anteriore","lui apre -> Futuro Anteriore","lui avrà aperto"
"2","aprire","Futuro anteriore","lei apre -> Futuro Anteriore","lei avrà aperto"
"2","aprire","Futuro anteriore","noi apriamo -> Futuro Anteriore","noi avremo aperto"
"2","aprire","Futuro anteriore","voi aprite -> Futuro Anteriore","voi avrete aperto"
"2","aprire","Futuro anteriore","loro(m) aprono -> Futuro Anteriore","loro(m) avranno aperto"
"2","aprire","Futuro anteriore","loro(f) aprono -> Futuro Anteriore","loro(f) avranno aperto"
"2","aprire","Congiuntivo Presente","io apro -> (che) Presente","che io apra"
"2","aprire","Congiuntivo Presente","tu apri -> (che) Presente","che tu apra"
"2","aprire","Congiuntivo Presente","lui apre -> (che) Presente","che lui apra"
"2","aprire","Congiuntivo Presente","lei apre -> (che) Presente","che lei apra"
"2","aprire","Congiuntivo Presente","noi apriamo -> (che) Presente","che noi apriamo"
"2","aprire","Congiuntivo Presente","voi aprite -> (che) Presente","che voi apriate"
"2","aprire","Congiuntivo Presente","loro(m) aprono -> (che) Presente","che loro(m) aprano"
"2","aprire","Congiuntivo Presente","loro(f) aprono -> (che) Presente","che loro(f) aprano"
"2","aprire","Congiuntivo Passato","io apro -> (che) Perfettoal","che io abbia aperto"
"2","aprire","Congiuntivo Passato","tu apri -> (che) Perfettoal","che tu abbia aperto"
"2","aprire","Congiuntivo Passato","lui apre -> (che) Perfettoal","che lui abbia aperto"
"2","aprire","Congiuntivo Passato","lei apre -> (che) Perfettoal","che lei abbia aperto"
"2","aprire","Congiuntivo Passato","noi apriamo -> (che) Perfettoal","che noi abbiamo aperto"
"2","aprire","Congiuntivo Passato","voi aprite -> (che) Perfettoal","che voi abbiate aperto"
"2","aprire","Congiuntivo Passato","loro(m) aprono -> (che) Perfettoal","che loro(m) abbiano aperto"
"2","aprire","Congiuntivo Passato","loro(f) aprono -> (che) Perfettoal","che loro(f) abbiano aperto"
"2","aprire","Congiuntivo Trapassato","io apro -> (che) Trapassato","che io avessi aperto"
"2","aprire","Congiuntivo Trapassato","tu apri -> (che) Trapassato","che tu avessi aperto"
"2","aprire","Congiuntivo Trapassato","lui apre -> (che) Trapassato","che lui avesse aperto"
"2","aprire","Congiuntivo Trapassato","lei apre -> (che) Trapassato","che lei avesse aperto"
"2","aprire","Congiuntivo Trapassato","noi apriamo -> (che) Trapassato","che noi avessimo aperto"
"2","aprire","Congiuntivo Trapassato","voi aprite -> (che) Trapassato","che voi aveste aperto"
"2","aprire","Congiuntivo Trapassato","loro(m) aprono -> (che) Trapassato","che loro(m) avessero aperto"
"2","aprire","Congiuntivo Trapassato","loro(f) aprono -> (che) Trapassato","che loro(f) avessero aperto"
"2","aprire","Congiuntivo Imperfetto","io apro -> (che) Imperfetto","che io aprissi"
"2","aprire","Congiuntivo Imperfetto","tu apri -> (che) Imperfetto","che tu aprissi"
"2","aprire","Congiuntivo Imperfetto","lui apre -> (che) Imperfetto","che lui aprisse"
"2","aprire","Congiuntivo Imperfetto","lei apre -> (che) Imperfetto","che lei aprisse"
"2","aprire","Congiuntivo Imperfetto","noi apriamo -> (che) Imperfetto","che noi aprissimo"
"2","aprire","Congiuntivo Imperfetto","voi aprite -> (che) Imperfetto","che voi apriste"
"2","aprire","Congiuntivo Imperfetto","loro(m) aprono -> (che) Imperfetto","che loro(m) aprissero"
"2","aprire","Congiuntivo Imperfetto","loro(f) aprono -> (che) Imperfetto","che loro(f) aprissero"
"2","aprire","Condizionale Presente","io apro -> (se) Presente","io aprirei"
"2","aprire","Condizionale Presente","tu apri -> (se) Presente","tu apriresti"
"2","aprire","Condizionale Presente","lui apre -> (se) Presente","lui aprirebbe"
"2","aprire","Condizionale Presente","lei apre -> (se) Presente","lei aprirebbe"
"2","aprire","Condizionale Presente","noi apriamo -> (se) Presente","noi apriremmo"
"2","aprire","Condizionale Presente","voi aprite -> (se) Presente","voi aprireste"
"2","aprire","Condizionale Presente","loro(m) aprono -> (se) Presente","loro(m) aprirebbero"
"2","aprire","Condizionale Presente","loro(f) aprono -> (se) Presente","loro(f) aprirebbero"
"2","aprire","Condizionale Passato","io apro -> (se) Passato","io avrei aperto"
"2","aprire","Condizionale Passato","tu apri -> (se) Passato","tu avresti aperto"
"2","aprire","Condizionale Passato","lui apre -> (se) Passato","lui avrebbe aperto"
"2","aprire","Condizionale Passato","lei apre -> (se) Passato","lei avrebbe aperto"
"2","aprire","Condizionale Passato","noi apriamo -> (se) Passato","noi avremmo aperto"
"2","aprire","Condizionale Passato","voi aprite -> (se) Passato","voi avreste aperto"
"2","aprire","Condizionale Passato","loro(m) aprono -> (se) Passato","loro(m) avrebbero aperto"
"2","aprire","Condizionale Passato","loro(f) aprono -> (se) Passato","loro(f) avrebbero aperto"
"3","avere","Imperfetto","io ho -> Imperfetto","io avevo"
"3","avere","Imperfetto","tu hai -> Imperfetto","tu avevi"
"3","avere","Imperfetto","lui ha -> Imperfetto","lui aveva"
"3","avere","Imperfetto","lei ha -> Imperfetto","lei aveva"
"3","avere","Imperfetto","noi abbiamo -> Imperfetto","noi avevamo"
"3","avere","Imperfetto","voi avete -> Imperfetto","voi avevate"
"3","avere","Imperfetto","loro(m) hanno -> Imperfetto","loro(m) avevano"
"3","avere","Imperfetto","loro(f) hanno -> Imperfetto","loro(f) avevano"
"3","avere","Passato remoto","io ho -> Passato Remoto","io ebbi"
"3","avere","Passato remoto","tu hai -> Passato Remoto","tu avesti"
"3","avere","Passato remoto","lui ha -> Passato Remoto","lui ebbe"
"3","avere","Passato remoto","lei ha -> Passato Remoto","lei ebbe"
"3","avere","Passato remoto","noi abbiamo -> Passato Remoto","noi avemmo"
"3","avere","Passato remoto","voi avete -> Passato Remoto","voi aveste"
"3","avere","Passato remoto","loro(m) hanno -> Passato Remoto","loro(m) ebbero"
"3","avere","Passato remoto","loro(f) hanno -> Passato Remoto","loro(f) ebbero"
"3","avere","Futuro semplice","io ho -> Futuro","io avrò"
"3","avere","Futuro semplice","tu hai -> Futuro","tu avrai"
"3","avere","Futuro semplice","lui ha -> Futuro","lui avrà"
"3","avere","Futuro semplice","lei ha -> Futuro","lei avrà"
"3","avere","Futuro semplice","noi abbiamo -> Futuro","noi avremo"
"3","avere","Futuro semplice","voi avete -> Futuro","voi avrete"
"3","avere","Futuro semplice","loro(m) hanno -> Futuro","loro(m) avranno"
"3","avere","Futuro semplice","loro(f) hanno -> Futuro","loro(f) avranno"
"3","avere","Passato prossimo","io ho -> Perfetto","io ho avuto"
"3","avere","Passato prossimo","tu hai -> Perfetto","tu hai avuto"
"3","avere","Passato prossimo","lui ha -> Perfetto","lui ha avuto"
"3","avere","Passato prossimo","lei ha -> Perfetto","lei ha avuto"
"3","avere","Passato prossimo","noi abbiamo -> Perfetto","noi abbiamo avuto"
"3","avere","Passato prossimo","voi avete -> Perfetto","voi avete avuto"
"3","avere","Passato prossimo","loro(m) hanno -> Perfetto","loro(m) hanno avuto"
"3","avere","Passato prossimo","loro(f) hanno -> Perfetto","loro(f) hanno avuto"
"3","avere","Trapassato prossimo","io ho -> Trapassato Prossimo","io avevo avuto"
"3","avere","Trapassato prossimo","tu hai -> Trapassato Prossimo","tu avevi avuto"
"3","avere","Trapassato prossimo","lui ha -> Trapassato Prossimo","lui aveva avuto"
"3","avere","Trapassato prossimo","lei ha -> Trapassato Prossimo","lei aveva avuto"
"3","avere","Trapassato prossimo","noi abbiamo -> Trapassato Prossimo","noi avevamo avuto"
"3","avere","Trapassato prossimo","voi avete -> Trapassato Prossimo","voi avevate avuto"
"3","avere","Trapassato prossimo","loro(m) hanno -> Trapassato Prossimo","loro(m) avevano avuto"
"3","avere","Trapassato prossimo","loro(f) hanno -> Trapassato Prossimo","loro(f) avevano avuto"
"3","avere","Futuro anteriore","io ho -> Futuro Anteriore","io avrò avuto"
"3","avere","Futuro anteriore","tu hai -> Futuro Anteriore","tu avrai avuto"
"3","avere","Futuro anteriore","lui ha -> Futuro Anteriore","lui avrà avuto"
"3","avere","Futuro anteriore","lei ha -> Futuro Anteriore","lei avrà avuto"
"3","avere","Futuro anteriore","noi abbiamo -> Futuro Anteriore","noi avremo avuto"
"3","avere","Futuro anteriore","voi avete -> Futuro Anteriore","voi avrete avuto"
"3","avere","Futuro anteriore","loro(m) hanno -> Futuro Anteriore","loro(m) avranno avuto"
"3","avere","Futuro anteriore","loro(f) hanno -> Futuro Anteriore","loro(f) avranno avuto"
"3","avere","Congiuntivo Presente","io ho -> (che) Presente","che io abbia"
"3","avere","Congiuntivo Presente","tu hai -> (che) Presente","che tu abbia"
"3","avere","Congiuntivo Presente","lui ha -> (che) Presente","che lui abbia"
"3","avere","Congiuntivo Presente","lei ha -> (che) Presente","che lei abbia"
"3","avere","Congiuntivo Presente","noi abbiamo -> (che) Presente","che noi abbiamo"
"3","avere","Congiuntivo Presente","voi avete -> (che) Presente","che voi abbiate"
"3","avere","Congiuntivo Presente","loro(m) hanno -> (che) Presente","che loro(m) abbiano"
"3","avere","Congiuntivo Presente","loro(f) hanno -> (che) Presente","che loro(f) abbiano"
"3","avere","Congiuntivo Passato","io ho -> (che) Perfettoal","che io abbia avuto"
"3","avere","Congiuntivo Passato","tu hai -> (che) Perfettoal","che tu abbia avuto"
"3","avere","Congiuntivo Passato","lui ha -> (che) Perfettoal","che lui abbia avuto"
